生成的PPT文件保存为：cef_fonts_cjk\unicode_flash_mob_1.pptx
PPT创建进度: 100%|█████| 13277/13277 [13:46<00:00, 16.06slide/s]
         1236702138 function calls (1235652611 primitive calls) in 826.538 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    26583    0.155    0.000    0.924    0.000 <frozen posixpath>:505(relpath)
    13277    0.084    0.000    0.910    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\shapes\shapetree.py:858(_SlidePlaceholderFactory)
    26587    0.037    0.000    0.905    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\oxml.py:92(add_rel)
   185878    0.156    0.000    0.863    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\simpletypes.py:52(validate_int_in_range)
    26590    0.840    0.000    0.840    0.000 {method 'flush' of 'zlib.Compress' objects}
    26626    0.039    0.000    0.835    0.000 zipfile\__init__.py:1570(open)
    13277    0.035    0.000    0.797    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\slide.py:217(shapes)
    26590    0.145    0.000    0.791    0.000 zipfile\__init__.py:1672(_open_to_write)
    26587    0.075    0.000    0.757    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\oxml.py:73(new)
    66409    0.486    0.000    0.746    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\xmlchemy.py:412(get_child_element_list)
    26554    0.168    0.000    0.722    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\shapes\shapetree.py:803(BaseShapeFactory)
    39831    0.128    0.000    0.717    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\text\text.py:135(paragraphs)
  336/330    0.515    0.002    0.716    0.002 {method 'acquire' of '_thread.lock' objects}
   185880    0.115    0.000    0.706    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\simpletypes.py:38(validate_int)
    13278    0.023    0.000    0.696    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\slide.py:28(spTree)
